Id;Label
0;sun, zhaohao
1;strang, kenneth
2;li, rongping
3;li, guijie
4;liu, yutao
5;zhao, hang
6;cai, hengyu
7;chatfield, akemi takeoka
8;ojo, adegboyega
9;puron-cid, gabriel
10;reddick, christopher g.
11;patgiri, ripon
12;zhu, yue
13;feng, jun
14;yang, laurence t.
15;zhang, ronghao
16;ardagna, claudio a.
17;damiani, ernesto
18;krotsiani, maria
19;kloukinas, christos
20;spanoudakis, george
21;huang, xin
22;ge, mouzhi
23;dohnal, vlastislav
24;feng, wei
25;burunova, anna v.
26;cuzzocrea, alfredo
27;mills, kathy a.
28;maaz, zafira nadia
29;bandi, shamsulhadi
30;amirudin, roslan
31;mahmoud, nesma
32;elbeh, heba
33;abdlkader, hatem m.
34;ristevski, blagoj
35;chen, ming
36;huang, zhen-sheng
37;zhang, chao-qun
38;liang, mei-zhen
39;wu, guang-yu
40;maalla, allam
41;wu, xiao-ling
42;li, yanling
43;huang, chunyan
44;zhou, ling
45;giczi, johanna
46;szoke, katalin
47;yang zhao-hong
48;wang hui-yu
49;zhao bin
50;han zhi-he
51;lu wan-lin
52;al-badi, ali
53;tarhini, ali
54;khan, asharul islam
55;yu, ping
56;yan, hui
57;wang, yichuan
58;kung, leeann
59;byrd, terry anthony
60;ma, xiao
61;zhang, dongpo
62;perera, w. k. r.
63;kulawansa, k. a. dilini t.
64;erol, hamza
65;erol, recep
66;bao, rongxin
67;chen, zhikui
68;obaidat, mohammad s.
69;canbay, yavuz
70;vural, yilmaz
71;sagiroglu, seref
72;gardiner, adrian
73;aasheim, cheryl
74;rutner, paige
75;williams, susan
76;lv, denglong
77;zhu, shibing
78;xu, huazheng
79;liu, ran
80;li, zhe
81;ren, yongchang
82;chen, chun-hui
83;li, ke-jing
84;chen, mingang
85;chen, wenjie
86;cai, lizhi
87;sam, k. m.
88;chatwin, c. r.
89;wahyudi, agung
90;pekkola, samuli
91;janssen, marijn
92;wu, shaobing
93;wang, changmei
94;anshari, muhammad
95;almunawar, mohammad nabil
96;lim, syamimi ariff
97;segooa, mmatshuene anna
98;kalema, billy mathias
99;kourid, ahlam
100;chikhi, salim
101;hossain, md delwar
102;adnan, muhammad abdullah
103;barkwell, katrina e.
104;leung, carson k.
105;ocran, ashley a.
106;sanderson, jennifer m.
107;stewart, james ayrton
108;wodi, bryan h.
109;jiang, min
110;fu, king-wa
111;ning, xiao-hong
112;isik, oyku
113;zhang, ning
114;yang, peng
115;ren, ju
116;chen, dajiang
117;yu, li
118;shen, xuemin (sherman)
119;nafis, nur syafiqah mohd
120;awang, suryanti
121;sun, lizhe
122;chen, yun
123;li, quanhe
124;shi, guangyi
125;guo, dong
126;wu, jian
127;liao, weijing
128;chen, jian
129;sun, fukun
130;yang, ming
131;khaloufi, hayat
132;abouelmehdi, karim
133;beni-hssane, abderrahim
134;saadi, mostafa
135;shen, bin
136;alhussain, thamer
137;farhani, adiska
138;lu, ming
139;zhou, xu
140;yassa, morcous massoud
141;peng, sancheng
142;yu, shui
143;mueller, peter
144;rezaee, zabihollah
145;dorestani, alireza
146;aliabadi, sara
147;cheng, shasha
148;lokshina, izabella v.
149;lanting, cees j. m.
150;kristiadi, dedy prasetya
151;warnars, harco leslie hendric spits
152;randriatoamanana, richard
153;megantara, fauzi
154;nulhakim, lukman
155;zarlis, muhammad
156;ali, ahmed hussein
157;abdullah, mahmood zaki
158;venkatraman, ramanathan
159;venkatraman, sitalakshmi
160;gu, xingchen
161;xiong, boyue
162;bereta, konstantina
163;koubarakis, manolis
164;manegold, stefan
165;stamoulis, george
166;demir, beguem
167;wang, yi
168;rambli, yanty rahayu
169;shahibi, mohd sazili
170;ibrahim, zaharudin
171;ismail, mohd nasir
172;chen, huan
173;zhou, liling
174;bhatia, reenu
175;sood, manu
176;khan, samiya
177;shakil, kashish ara
178;ali, syed arshad
179;alam, mansaf
180;yang, bai
181;chen, wei
182;nguyen, thuan l.
183;brinch, morten
184;stentoft, jan
185;jensen, jesper kronborg
186;rajkumar, christopher
187;wang weifeng
188;jiang, fan
189;middleton, ryan
190;pazdor, adam g. m.
191;pan, jiang
192;saggi, mandeep kaur
193;jain, sushma
194;park, eunjung
195;sugumaran, vijayan
196;park, sooyong
197;gao, jianliang
198;sheng, jinfang
199;zhang, zuping
200;oo, myat nandar
201;parvin, sazia
202;thein, thandar
203;krittanawong, chayakrit
204;fredriksson, cecilia
205;sun, haoxiang
206;chen, changxing
207;ling, yunfei
208;huang, jiyao
209;lin, xiangyang
210;merritt, patrick
211;bi, haixia
212;davis, bradley
213;windmill, christopher
214;xue, yong
215;tonidandel, scott
216;king, eden b.
217;cortina, jose m.
218;jia, changjiang
219;jing, dong
220;yang, yubo
221;fan, peng
222;sun, wei
223;feng, yanghe
224;wen, lulu
225;zhou, kaile
226;yang, shanlin
227;li, lanlan
228;mana, suja cherukullapurath
229;lei, li
230;liu, zhao-ge
231;li, xiang-yang
232;pant, pooja
233;kumar, praveen
234;alam, irshad
235;rawat, seema
236;lei, weijun
237;ezzine, imane
238;benhlima, laila
239;harsh, rajeshwari
240;acharya, gaurav
241;chaudhary, sunita
242;alani, ali a.
243;ahmed, firas d.
244;majid, mazlina abdul
245;ahmad, mohd sharifuddin
246;zhang, lili
247;xie, yuxiang
248;luan xidao
249;zhang, xin
250;guo, limei
251;choenni, sunil
252;netten, niels
253;s-bargh, mortaza
254;choenni, rochelle
255;lu, shan
256;qiao, rongrong
257;haneef, israr
258;munir, ehsan ullah
259;qaiser, ghazia
260;umar, hafiz gulfam ahmad
261;verma, surabhi
262;bhattacharyya, som sekhar
263;kumar, saurav
264;quelal, rosa
265;villavicencio, monica
266;jeble, shirish
267;kumari, sneha
268;patil, yogesh
269;bohon, stephanie a.
270;fan, xiaoyun
271;lu, jianfeng
272;zhang, yue
273;du, li
274;chen, xu
275;fang, hua
276;alabdullah, bayan
277;beloff, natalia
278;white, martin
279;wang, yingli
280;li, ying
281;shao, mingchen
282;albeshri, aiiad
283;thayananthan, vijey
284;fu, jie
285;yang tao
286;zhu lei
287;peng ruxiang
288;lin, shu-qing
289;siddiqa, aisha
290;karim, ahmad
291;chang, victor
292;song, zhendong
293;oussous, ahmed
294;benjelloun, fatima-zahra
295;ait lahcen, ayoub
296;belfkih, samir
297;sheriff, mohamed k.
298;miguel castagnino, juan
299;alouneh, sahel
300;hababeh, ismail
301;alajrami, tamer
302;routledge, bryan r.
303;adjerid, idris
304;kelley, ken
305;cao, rui
306;gao, jing
307;farzaneh, mandana
308;mozaffari, fatemeh
309;ameli, s. pouria
310;karami, mitra
311;mohamadian, ayoub
