Author short Names;authors;articles
"Hao, SB; Zhang, HL; Song, M";"Hao, Shengbin; Zhang, Haili; Song, Michael";Big Data, Big Data Analytics Capability, and Sustainable Innovation Performance
Tao, T;Tao, Tang;Talking About the Application of Big Data Technology in Power Industry
Picciotto, R;Picciotto, Robert;Evaluation and the Big Data Challenge
"Bagherzadeh, M; Khatchadourian, R";"Bagherzadeh, Mehdi; Khatchadourian, Raffi";Going Big: A Large-Scale Study on What Big Data Developers Ask
"Giusino, D; Fraboni, F; De Angelis, M; Pietrantoni, L";"Giusino, Davide; Fraboni, Federico; De Angelis, Marco; Pietrantoni, Luca";Commentary: Principles, Approaches and Challenges of Applying Big Data in Safety Psychology Research
"Wang, LD; Alexander, CA";"Wang, Lidong; Alexander, Cheryl Ann";Big Data Analytics in Healthcare Systems
"Al-Mekhlal, M; Khwaj, AA";"Al-Mekhlal, Monerah; Khwaj, Amir Ali";A Synthesis of Big Data Definition and Characteristics
"Al-Sai, ZA; Abdullah, R; Husin, MH";"Al-Sai, Zaher Ali; Abdullah, Rosni; Husin, Mohd Heikal";Big Data Impacts and Challenges: A Review
"Arruda, D; Madhavji, NH";"Arruda, Darlan; Madhavji, Nazim H.";QualiBD: A Tool for Modelling Quality Requirements for Big Data Applications
"Shamim, S; Zeng, J; Shariq, SM; Khan, Z";"Shamim, Saqib; Zeng, Jing; Shariq, Syed Muhammad; Khan, Zaheer";Role of big data management in enhancing big data decision-making capability and quality among Chinese firms: A dynamic capabilities view
"Li, M; Wang, CZ; Yan, LY; Wei, SW";"Li, Min; Wang, Chunzhi; Yan, Lingyu; Wei, Siwei";Research on the Application of Medical Big Data
"Wang, LD; Jones, R";"Wang, Lidong; Jones, Randy";Big Data, Cybersecurity, and Challenges in Healthcare
"Ali, AH; Abdullah, MZ";"Ali, Ahmed Hussein; Abdullah, Mahmood Zaki";A Survey on Vertical and Horizontal Scaling Platforms for Big Data Analytics
"Sun, ZH; Huo, YX";"Sun, Zhaohao; Huo, Yanxia";A Managerial Framework for Intelligent Big Data Analytics
King, T;King, Tom;The Politics of Big Data: Big Data, Big Brother?
"Wei, L; Huang, Y; Zhao, QY; Shu, HP";"Wei, Le; Huang, Yong; Zhao, Qiuyun; Shu, Hongping";Big Data Analysis Service Platform Building for Complex Product Manufacturing
"Paraschiv, AM; Danubianu, M";"Paraschiv, Andrei Marcel; Danubianu, Mirela";BIG DATA - Present Opportunities and Challenges
Mager, A;Mager, Astrid;The politics of big data. Big data, big brother?
"Knusel, B; Zumwald, M; Baumberger, C; Hadorn, GH; Fischer, EM; Bresch, DN; Knutti, R";"Knusel, Benedikt; Zumwald, Marius; Baumberger, Christoph; Hadorn, Gertrude Hirsch; Fischer, Erich M.; Bresch, David N.; Knutti, Reto";Applying big data beyond small problems in climate research
"El Alaoui, I; Gahi, Y; Messoussi, R";"El Alaoui, Imane; Gahi, Youssef; Messoussi, Rochdi";Full Consideration of Big Data Characteristics in Sentiment Analysis Context
"Aragona, B; De Rosa, R";"Aragona, Biagio; De Rosa, Rosanna";Big data in policy making
"Salih, S; Njenga, K";"Salih, Sara; Njenga, Kennedy";Big Data for Small Business
"Hassani, H; Huang, X; Silva, E";"Hassani, Hossein; Huang, Xu; Silva, Emmanuel";Big Data and Climate Change
"Sheng, J; Amankwah-Amoah, J; Wang, XJ";"Sheng, Jie; Amankwah-Amoah, Joseph; Wang, Xiaojun";Technology in the 21st century: New challenges and opportunities
"Yan, WZ; Zhao, X; Jia, YF; Zhang, CH; Ni, SY";"Yan Weizhong; Zhao Xing; Jia Yuanfei; Zhang Caihong; Ni Shiyuan";Research on the Construction of Big Data Platform of Shaanxi Insurance Industry
"Zhan, M; Widen, G";"Zhan, Ming; Widen, Gunilla";Understanding big data in librarianship
"Zheng, X; Liu, XF; Gao, WG";"Zheng Xiang; Liu Xiaofang; Gao Weigang";Analysis of the Application of Military Big Data in Equipment Quality Information Management
"Liu, NL; Ma, L";"Liu Naili; Ma Lei";Research and Application of Big Data in E-government
"Li, X; Fan, XP; Qu, XL; Sun, G; Yang, C; Zuo, B; Liao, ZF";"Li, Xin; Fan, Xiaoping; Qu, Xilong; Sun, Guang; Yang, Chen; Zuo, Biao; Liao, Zhifang";Curriculum Reform in Big Data Education at Applied Technical Colleges and Universities in China
Devi, GNR;Devi, G. Naga Rama;Emerging Trends in Big Data Analytics-A Study
"Amankwah-Amoah, J; Adomako, S";"Amankwah-Amoah, Joseph; Adomako, Samuel";Big data analytics and business failures in data-Rich environments: An organizing framework
Moharm, K;Moharm, Karim;State of the art in big data applications in microgrid: A review
