Id;Label
0;huang, xiaotao
1;qin, niannian
2;zhang, xiaofang
3;wang, fen
4;wang, yingxu
5;sun, zhaohao
6;wang, paul p.
7;peng, jun
8;fang, wei
9;wen, xue zhi
10;zheng, yu
11;zhou, ming
12;xie, chunli
13;gao, jerry
14;tao, chuanqi
15;lam, son k.
16;sleep, stefan
17;hennig-thurau, thorsten
18;sridhar, shrihari
19;saboo, alok r.
20;yablonsky, sergey
21;alexandru, adriana
22;coardos, dora
23;solanki, neha
24;kachhwaha, rajendra
25;li, jun
26;lu, ming
27;dou, guowei
28;wang, shanyong
29;zhao, wenfeng
30;liu, guohua
31;chen, zhao
32;nyabuga, douglas
33;yang, huichun
34;zhang, heng
35;ni, mengfei
36;huang, jun
37;zhu, dingju
38;tang, yong
39;park, joon ho
40;park, jin ho
41;lee, nam young
42;fuller, daniel
43;buote, richard
44;stanley, kevin
45;koseleva, natalija
46;ropaite, guoda
47;he, bei
48;yang, fuli
49;zheng, ke
50;li, gang
51;tao, xuedan
52;yao, wang
53;polanski, jaroslaw
54;bagheri, azam
55;bollen, math h. j.
56;gu, irene y. h.
57;shapiro, jesse m.
58;cuzzocrea, alfredo
59;zhang, pengcheng
60;xiong, fang
61;wang, jimin
62;baerg, andrew
63;xu, yuhua
64;sun, zhe
65;sun, zhixin
66;hu, jianyong
67;chen, jilin
68;xie, mei
69;gao, bo
70;yu, zhihong
71;yan, jianfeng
72;lv, ying
73;kim, hee yeong
74;cho, june-suh
75;rad, babak bashari
76;ataei, pouya
77;dai, zhiqiang
78;xiang, changguo
79;olszak, celina m.
80;pokorny, jaroslav
81;wang, lei
82;he, lianyue
83;dave, meenu
84;kamal, jahangir
85;shi, jing
86;ai, xiaoyan
87;cao, ziyi
88;zhang, chunjie
89;shang, wenqian
90;lin, weiguo
91;li, yongan
92;tan, rui
93;minou, john
94;routsis, fotios
95;gallos, parisis
96;mantas, john
97;shah, fadia
98;li, jianping
99;shah, yasir
100;shah, faiza
101;balaji, s. naveen
102;paul, p. victer
103;saravanan, r.
104;zhang, xiaomin
105;zhang, deju
106;zhou, jianwei
107;shen, liang
108;liu, jianwei
109;zhang, yong
110;xing, chunxiao
111;nereu, jorge
112;almeida, ana
113;bernardino, jorge
114;rui, long
115;shi, xin
116;narisong
117;tang, tiantian
118;hu, pei
119;zhou, xuewu
120;li, wenrui
121;noraziah, a.
122;fakherldin, mohammed adam ibrahim
123;adam, khalid
124;majid, mazlina abdul
125;somasekhar, g.
126;karthikeyan, k.
127;rao, akula v. s. siva rama
128;lakshmi, r. dhana
129;malthouse, edward c.
130;li, hairong
131;manekar, amitkumar s.
132;pradeepini, g.
133;pauleen, david j.
